dtime,open,high,low,close
2019-12-11 12:10:00+00:00,108.702,108.715,108.702,108.715
2019-12-11 12:11:00+00:00,108.712,108.722,108.710,108.720
2019-12-11 12:12:00+00:00,108.717,108.717,108.714,108.714
2019-12-11 12:13:00+00:00,108.717,108.717,108.714,108.714
2019-12-11 12:14:00+00:00,108.712,108.712,108.707,108.709
2019-12-11 12:15:00+00:00,108.707,108.709,108.704,108.704
2019-12-11 12:16:00+00:00,108.706,108.706,108.706,108.706
2019-12-11 12:17:00+00:00,108.704,108.704,108.704,108.704
2019-12-11 12:18:00+00:00,108.702,108.706,108.701,108.706
2019-12-11 12:19:00+00:00,108.703,108.706,108.701,108.701
2019-12-11 12:20:00+00:00,108.703,108.706,108.698,108.698
2019-12-11 12:21:00+00:00,108.700,108.700,108.698,108.698
2019-12-11 12:22:00+00:00,108.700,108.700,108.700,108.700
2019-12-11 12:23:00+00:00,108.698,108.706,108.698,108.706
2019-12-11 12:24:00+00:00,108.704,108.713,108.704,108.712
2019-12-11 12:25:00+00:00,108.710,108.712,108.708,108.712
2019-12-11 12:26:00+00:00,108.714,108.714,108.710,108.710
2019-12-11 12:28:00+00:00,108.712,108.714,108.710,108.714
2019-12-11 12:29:00+00:00,108.716,108.716,108.714,108.714
2019-12-11 12:30:00+00:00,108.711,108.711,108.711,108.711
2019-12-11 12:31:00+00:00,108.714,108.714,108.711,108.711
2019-12-11 12:32:00+00:00,108.714,108.714,108.711,108.711
2019-12-11 12:33:00+00:00,108.714,108.716,108.714,108.716
2019-12-11 12:34:00+00:00,108.719,108.719,108.714,108.714
2019-12-11 12:35:00+00:00,108.716,108.724,108.716,108.722
2019-12-11 12:36:00+00:00,108.718,108.718,108.716,108.716
2019-12-11 12:37:00+00:00,108.713,108.713,108.710,108.712
2019-12-11 12:38:00+00:00,108.710,108.710,108.708,108.708
2019-12-11 12:39:00+00:00,108.705,108.705,108.702,108.705
2019-12-11 12:40:00+00:00,108.702,108.705,108.702,108.705
2019-12-11 12:41:00+00:00,108.702,108.702,108.700,108.700
2019-12-11 12:42:00+00:00,108.698,108.698,108.696,108.696
2019-12-11 12:43:00+00:00,108.698,108.698,108.698,108.698
2019-12-11 12:44:00+00:00,108.701,108.703,108.701,108.703
2019-12-11 12:45:00+00:00,108.706,108.716,108.706,108.716
2019-12-11 12:46:00+00:00,108.712,108.712,108.708,108.708
2019-12-11 12:47:00+00:00,108.705,108.705,108.705,108.705
2019-12-11 12:48:00+00:00,108.708,108.722,108.708,108.722
2019-12-11 12:49:00+00:00,108.719,108.721,108.714,108.718
2019-12-11 12:50:00+00:00,108.721,108.721,108.716,108.719
2019-12-11 12:51:00+00:00,108.722,108.724,108.722,108.722
2019-12-11 12:52:00+00:00,108.719,108.724,108.714,108.724
2019-12-11 12:53:00+00:00,108.726,108.726,108.722,108.722
2019-12-11 12:54:00+00:00,108.719,108.724,108.716,108.724
2019-12-11 12:55:00+00:00,108.726,108.732,108.726,108.726
2019-12-11 12:56:00+00:00,108.728,108.736,108.728,108.736
2019-12-11 12:57:00+00:00,108.734,108.738,108.734,108.738
2019-12-11 12:58:00+00:00,108.741,108.741,108.736,108.738
2019-12-11 12:59:00+00:00,108.736,108.741,108.736,108.738
2019-12-11 13:00:00+00:00,108.736,108.738,108.736,108.736
2019-12-11 13:01:00+00:00,108.734,108.734,108.731,108.733
2019-12-11 13:02:00+00:00,108.731,108.731,108.723,108.724
2019-12-11 13:03:00+00:00,108.726,108.728,108.726,108.728
2019-12-11 13:04:00+00:00,108.730,108.730,108.728,108.728
2019-12-11 13:05:00+00:00,108.730,108.730,108.725,108.725
2019-12-11 13:06:00+00:00,108.727,108.730,108.727,108.730
2019-12-11 13:07:00+00:00,108.728,108.730,108.726,108.730
2019-12-11 13:08:00+00:00,108.728,108.732,108.728,108.732
2019-12-11 13:09:00+00:00,108.735,108.740,108.735,108.738
2019-12-11 13:10:00+00:00,108.741,108.749,108.741,108.746
2019-12-11 13:11:00+00:00,108.744,108.750,108.744,108.750
2019-12-11 13:12:00+00:00,108.746,108.746,108.742,108.742
2019-12-11 13:13:00+00:00,108.739,108.742,108.739,108.742
2019-12-11 13:14:00+00:00,108.744,108.750,108.744,108.750
2019-12-11 13:15:00+00:00,108.748,108.748,108.746,108.748
2019-12-11 13:16:00+00:00,108.746,108.751,108.744,108.748
2019-12-11 13:17:00+00:00,108.746,108.750,108.744,108.747
2019-12-11 13:18:00+00:00,108.750,108.750,108.747,108.747
2019-12-11 13:19:00+00:00,108.750,108.752,108.748,108.748
2019-12-11 13:20:00+00:00,108.750,108.750,108.732,108.740
2019-12-11 13:21:00+00:00,108.742,108.742,108.742,108.742
2019-12-11 13:22:00+00:00,108.740,108.745,108.740,108.745
2019-12-11 13:23:00+00:00,108.743,108.748,108.738,108.738
2019-12-11 13:24:00+00:00,108.736,108.738,108.724,108.724
2019-12-11 13:25:00+00:00,108.722,108.722,108.707,108.712
2019-12-11 13:26:00+00:00,108.710,108.713,108.710,108.710
2019-12-11 13:27:00+00:00,108.712,108.714,108.710,108.710
2019-12-11 13:28:00+00:00,108.707,108.714,108.707,108.709
2019-12-11 13:29:00+00:00,108.707,108.723,108.704,108.710
2019-12-11 13:30:00+00:00,108.715,108.748,108.710,108.720
2019-12-11 13:31:00+00:00,108.718,108.718,108.708,108.710
2019-12-11 13:32:00+00:00,108.708,108.714,108.708,108.714
2019-12-11 13:33:00+00:00,108.717,108.724,108.707,108.709
2019-12-11 13:34:00+00:00,108.706,108.707,108.692,108.694
2019-12-11 13:35:00+00:00,108.692,108.692,108.673,108.676
2019-12-11 13:36:00+00:00,108.678,108.684,108.671,108.684
2019-12-11 13:37:00+00:00,108.681,108.684,108.676,108.679
2019-12-11 13:38:00+00:00,108.682,108.689,108.679,108.681
2019-12-11 13:39:00+00:00,108.684,108.689,108.684,108.686
2019-12-11 13:40:00+00:00,108.684,108.688,108.680,108.688
2019-12-11 13:41:00+00:00,108.686,108.688,108.682,108.682
2019-12-11 13:42:00+00:00,108.684,108.687,108.680,108.680
2019-12-11 13:43:00+00:00,108.682,108.682,108.677,108.680
2019-12-11 13:44:00+00:00,108.677,108.690,108.677,108.690
2019-12-11 13:45:00+00:00,108.692,108.692,108.690,108.690
2019-12-11 13:46:00+00:00,108.692,108.700,108.690,108.700
2019-12-11 13:47:00+00:00,108.702,108.708,108.702,108.704
2019-12-11 13:48:00+00:00,108.706,108.709,108.706,108.707
2019-12-11 13:49:00+00:00,108.710,108.714,108.710,108.714
2019-12-11 13:50:00+00:00,108.716,108.716,108.714,108.714
2019-12-11 13:51:00+00:00,108.711,108.711,108.704,108.706
2019-12-11 13:52:00+00:00,108.704,108.704,108.699,108.704
2019-12-11 13:53:00+00:00,108.706,108.709,108.704,108.704
2019-12-11 13:54:00+00:00,108.702,108.704,108.694,108.704
2019-12-11 13:55:00+00:00,108.702,108.702,108.692,108.694
2019-12-11 13:56:00+00:00,108.692,108.697,108.690,108.690
2019-12-11 13:57:00+00:00,108.692,108.694,108.692,108.694
2019-12-11 13:58:00+00:00,108.697,108.697,108.697,108.697
2019-12-11 13:59:00+00:00,108.700,108.706,108.700,108.704
2019-12-11 14:00:00+00:00,108.702,108.702,108.699,108.702
2019-12-11 14:01:00+00:00,108.704,108.707,108.693,108.696
2019-12-11 14:02:00+00:00,108.694,108.694,108.678,108.682
2019-12-11 14:03:00+00:00,108.680,108.685,108.680,108.685
2019-12-11 14:04:00+00:00,108.683,108.685,108.678,108.685
2019-12-11 14:06:00+00:00,108.688,108.688,108.680,108.685
2019-12-11 14:07:00+00:00,108.688,108.690,108.683,108.688
